Ebene;Pfad;AlsMappe;Begruendung
2;06 AI-Memory/memory;nein;Arbeitsverzeichnis des Memory-Agents, kein Wissensthema
1;General;nein;Teams-Kanalordner, gemischter Kanzleibetrieb inkl. Personal_DE/Personal_CH - nicht Wissensbestand
2;General/claude-cowork-complete-guide;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Excel-Training;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Legal Project Management Fortbildung 11_2022;nein;unterhalb von 'General' - siehe Ebene 1
2;General/LPM;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Personaleinsatz;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Personal_CH;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Personal_DE;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Statistik und Daten;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Steuerwissenschaften;nein;unterhalb von 'General' - siehe Ebene 1
2;General/Wissen;nein;unterhalb von 'General' - siehe Ebene 1
1;Steuerrecht;nein;OneNote-Notizbuch (Notizbuch oeffnen.onetoc2) - Umwandlung wuerde das Notizbuch beschaedigen
2;Steuerrecht/OneNote_RecycleBin;nein;OneNote-Systemordner
1;Wissen;nein;OneNote-Notizbuch (Notizbuch oeffnen.onetoc2) - Umwandlung wuerde das Notizbuch beschaedigen
2;Wissen/Bp;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/Diverse;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/OneNote_RecycleBin;nein;OneNote-Systemordner
2;Wissen/Schwarzarbeit;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/Steuerrecht CH;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/Steuerrecht_DE;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/Strafverfahren;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/USt DE;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/Wirtschaftsstrafrecht;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/Zoll CH;nein;unterhalb von 'Wissen' - siehe Ebene 1
2;Wissen/Zoll DE;nein;unterhalb von 'Wissen' - siehe Ebene 1
