TermSet;TermPath;Language;Synonym
Rechtsgebiet;Öffentliches Recht|Steuerrecht;de;Steuerwesen
Rechtsgebiet;Öffentliches Recht|Steuerrecht|Internationales Steuerrecht|Verrechnungspreise;de;Transfer Pricing
Rechtsgebiet;Öffentliches Recht|Steuerrecht|Internationales Steuerrecht|Verrechnungspreise;en;Intercompany pricing
Rechtsgebiet;Öffentliches Recht|Datenschutz;de;Datenschutzrecht
Rechtsgebiet;Öffentliches Recht|Datenschutz;en;Data privacy law
Rechtsgebiet;Öffentliches Recht|Datenschutz;fr;Droit de la vie privée
Schlagworte;Tax Compliance – Tax CMS;de;Tax Compliance Management System
Schlagworte;Tax Compliance – GoBD / GDPdU;en;Digital tax records compliance
Schlagworte;Tax Compliance – Kontrollen / ICS;en;Internal control system
